logFC	AveExpr	t	P.Value	adj.P.Val	B	GB_ACC	ID	UG_CLUSTER	DESCRIPTION	GENE_SYMBOL	display_label	deg_class
1.48981256531969	1.48981256531969	10.0894625404497	4.88025772891692e-08	0.00040610166145496	7.68566132716098	AA919063	7683	Hs.591054	BH3 interacting domain death agonist	BID	BID	Up
1.6663102212933	1.6663102212933	9.55087579814206	9.94785873561512e-08	0.00040610166145496	7.16784107674176	AA679414	6722	Hs.181368	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)	PRPF8	PRPF8	Up
1.64236713645006	1.64236713645006	9.50900650357846	1.05272136479912e-07	0.00040610166145496	7.12604862536778	AA454651	4341	Hs.654688	Megakaryoblastic leukemia (translocation) 1	MKL1	MKL1	Up
-1.39464042534382	-1.39464042534382	-9.40774339978887	1.20809656836222e-07	0.00040610166145496	7.02402710019355	AA448486	4026	Hs.592074	Hypothetical protein LOC348180	LOC348180	LOC348180	Down
1.19784993477139	1.19784993477139	7.91908021068524	1.04380611977447e-06	0.00248131144943529	5.35922502011588	N23047	9676	Hs.379018	Transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2	TFDP2	Up
1.14442137362512	1.14442137362512	7.88075753583157	1.10723402473686e-06	0.00248131144943529	5.31202607393743	W37989	13808	Hs.435615	Calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)	CASR	CASR	Up
-1.37961993937354	-1.37961993937354	-7.4103541830181	2.72360307925717e-06	0.00523165242909884	4.57470867769553	R60020	12393	Hs.592074	Hypothetical protein LOC348180	LOC348180	LOC348180	Down
1.26637622415187	1.27514217905639	6.96625470548446	7.07171127608069e-06	0.0118857787272726	3.71083370195452	AA490338	5600	Hs.177926	Exonuclease NEF-sp	LOC81691	LOC81691	Up
-0.674830444918691	-0.674830444918691	-6.64881734358854	8.16377939156272e-06	0.0121966864109947	3.66794214808099	R98008	12924	Hs.146551	BMP2 inducible kinase	BMP2K	BMP2K	Down
1.26399484319156	1.26399484319156	6.61079493946681	9.46143083060132e-06	0.0127218398948265	3.5428818344758	T99653	13607	Hs.567356	Wingless-type MMTV integration site family member 2	WNT2	WNT2	Up
-0.901613082325588	-0.901613082325588	-6.47770735227566	1.13631401184162e-05	0.0138898892756567	3.38805992526943	AA458932	4646	Hs.91579	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	IMP4	IMP4	Down
-0.591137172613627	-0.591137172613626	-6.23182583577821	1.68143884029321e-05	0.0176656145541005	3.05372390284866	AA441935	3780	Hs.643451	Achaete-scute complex homolog 1 (Drosophila)	ASCL1	ASCL1	Down
1.00450251164435	1.00450251164435	6.22294258370722	1.70796511381308e-05	0.0176656145541005	3.04031528000685	AA482079	5257	Hs.647086	Replication initiator 1	REPIN1	REPIN1	Up
-1.3970363890021	-1.3970363890021	-6.06764029502724	2.5243261019355e-05	0.0242443491190177	2.70722085567621	AA676649	6611	Data not found		NA	AA676649	Down
-0.759979606588459	-0.759979606588459	-5.85779057529947	3.32705449937627e-05	0.0298237165324089	2.46588184071973	H00677	8147	Hs.652165	Centrosomal protein 68kDa	CEP68	CEP68	Down
-1.25102055686746	-1.25102055686746	-5.82719475501626	3.86044148735201e-05	0.0324421851493344	2.34038501090882	AA495724	5670	Hs.520814	Tensin 3	TNS3	TNS3	Down
-0.913684592387327	-0.913684592387327	-5.71675054576823	4.7047717398889e-05	0.0359729294428577	2.16859047493708	R77144	12632	Hs.488835	Transmembrane protein induced by tumor necrosis factor alpha	TMPIT	TMPIT	Down
0.894356944343947	0.894356944343947	5.64385614762759	4.8505874269023e-05	0.0359729294428577	2.13725031884615	AA035620	1437	Hs.125898	GNAS complex locus	GNAS	GNAS	Up
-0.566506083575568	-0.566506083575568	-5.6184517535251	5.08318949437972e-05	0.0359729294428577	2.09634004252578	AA706795	7111	Hs.624027	Hypothetical LOC647065	LOC647065	LOC647065	Down
-0.562224402205386	-0.562224402205385	-5.50727407702295	6.24600316748994e-05	0.0412812282680467	1.91605023747542	AA478950	5138	Hs.371987	Nuclear factor of activated T-cells 5, tonicity-responsive	NFAT5	NFAT5	Down
