logFC	AveExpr	t	P.Value	adj.P.Val	B	GB_ACC	ID	UG_CLUSTER	DESCRIPTION	GENE_SYMBOL	display_label	deg_class
1.71519359095147	1.6663102212933	10.5639839989848	2.65822907003834e-08	0.000351069080837794	8.01535181193682	AA679414	6722	Hs.181368	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)	PRPF8	PRPF8	Up
-1.44594737147268	-1.39464042534382	-10.0346733141568	5.22191106407547e-08	0.000351069080837794	7.54579119740398	AA448486	4026	Hs.592074	Hypothetical protein LOC348180	LOC348180	LOC348180	Down
1.65714126403378	1.64236713645006	9.29839775752012	1.39904761133847e-07	0.000627053139401902	6.83565604219734	AA454651	4341	Hs.654688	Megakaryoblastic leukemia (translocation) 1	MKL1	MKL1	Up
1.50620528254874	1.48981256531969	8.74762700651928	3.036966869112e-07	0.001020876413052	6.25749507252192	AA919063	7683	Hs.591054	BH3 interacting domain death agonist	BID	BID	Up
1.18043284311266	1.14442137362512	7.95486139217723	9.85545011628961e-07	0.0026503276452726	5.34847434106662	W37989	13808	Hs.435615	Calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)	CASR	CASR	Up
1.19960195255849	1.19784993477139	7.68267664746112	1.50280613761347e-06	0.00336778855439178	5.01416969788601	N23047	9676	Hs.379018	Transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2	TFDP2	Up
-1.35939083077542	-1.37961993937354	-7.28086504693686	3.31877800727683e-06	0.00637489844083488	4.36793182423826	R60020	12393	Hs.592074	Hypothetical protein LOC348180	LOC348180	LOC348180	Down
1.28511335049869	1.27514217905639	7.0109716007963	6.5011113596136e-06	0.0107187768722494	3.75737284956601	AA490338	5600	Hs.177926	Exonuclease NEF-sp	LOC81691	LOC81691	Up
-0.924350384920961	-0.901613082325588	-6.71734399393301	7.36948530174415e-06	0.0107187768722494	3.71741605562775	AA458932	4646	Hs.91579	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	IMP4	IMP4	Down
-0.688096971810626	-0.674830444918691	-6.66167620921201	7.97172160661118e-06	0.0107187768722494	3.65230070246422	R98008	12924	Hs.146551	BMP2 inducible kinase	BMP2K	BMP2K	Down
-1.30517663959958	-1.25102055686746	-6.32283985876604	1.62685999773308e-05	0.0198861450268355	3.0530484363536	AA495724	5670	Hs.520814	Tensin 3	TNS3	TNS3	Down
0.999832436045276	1.00450251164435	6.00197691340624	2.52583274648573e-05	0.0279457058429651	2.67823018729765	AA482079	5257	Hs.647086	Replication initiator 1	REPIN1	REPIN1	Up
-0.59020957167812	-0.591137172613626	-5.96446679730003	2.70187547195111e-05	0.0279457058429651	2.62059519895273	AA441935	3780	Hs.643451	Achaete-scute complex homolog 1 (Drosophila)	ASCL1	ASCL1	Down
1.22920416760422	1.26399484319156	5.92634225862501	3.17310363277279e-05	0.0304753938901878	2.48510622619567	T99653	13607	Hs.567356	Wingless-type MMTV integration site family member 2	WNT2	WNT2	Up
-1.38799918441172	-1.3970363890021	-5.89946332761389	3.40331105333628e-05	0.0305072802821064	2.42569030952786	AA676649	6611	Data not found		NA	AA676649	Down
0.909224190506204	0.894356944343947	5.64498096525439	4.83368797781787e-05	0.0406211053435869	2.11998555733618	AA035620	1437	Hs.125898	GNAS complex locus	GNAS	GNAS	Up
-0.919288014268246	-0.913684592387327	-5.65741954572523	5.23877760018529e-05	0.0414356491835832	2.05462531672372	R77144	12632	Hs.488835	Transmembrane protein induced by tumor necrosis factor alpha	TMPIT	TMPIT	Down
-0.556976793297147	-0.566506083575568	-5.34456286578956	8.45804086455311e-05	0.0579148277710489	1.63367159451036	AA706795	7111	Hs.624027	Hypothetical LOC647065	LOC647065	LOC647065	Not_significant
-0.655357740529755	-0.630298280129709	-5.34468809626296	8.46769086203493e-05	0.0579148277710489	1.63275886179398	AA610016	6135	Hs.112804	Transcribed locus	NA	AA610016	Not_significant
-0.553118381786748	-0.562224402205385	-5.33297217061488	8.64467317575457e-05	0.0579148277710489	1.61461334041151	AA478950	5138	Hs.371987	Nuclear factor of activated T-cells 5, tonicity-responsive	NFAT5	NFAT5	Not_significant
1.41546460489814	1.42101296786271	5.35731670043382	9.07796841369727e-05	0.0579148277710489	1.57762628412291	H05961	8205	Hs.536009	Transcribed locus	NA	H05961	Not_significant
-0.738139268957595	-0.739661276012055	-5.30751510903095	9.48756054242819e-05	0.0579148277710489	1.53614858981914	AA702702	6962	Hs.440544	Chloride intracellular channel 4	CLIC4	CLIC4	Not_significant
1.05437096106132	1.02790321930097	5.53729127539802	9.99006062139081e-05	0.0579148277710489	1.43631925063028	AA777435	7384	Data not found		NA	AA777435	Not_significant
-0.64027270449778	-0.648262186640972	-5.22469027832528	0.000106087936756922	0.0579148277710489	1.43553178308104	AA666078	1068	Hs.534384	Polyglutamine binding protein 1	PQBP1	PQBP1	Not_significant
-0.435169838145278	-0.427824260652734	-5.2168414316483	0.000107680402668171	0.0579148277710489	1.42247878466728	AA701535	6923	Hs.513102	Transcribed locus	NA	AA701535	Not_significant
-0.525577253124177	-0.545423183077344	-5.1848284417141	0.000114436306543163	0.0591811760684373	1.36913958632444	AA598625	5905	Hs.654352	Solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	SLC1A4	SLC1A4	Not_significant
-0.626149047795887	-0.612320193379222	-5.16070555839217	0.000119836169319067	0.0593005405151317	1.32870565802268	W85900	14244	Hs.659521	Transcribed locus	NA	W85900	Not_significant
0.847885348919504	0.826863181981392	5.14487689878898	0.000123487664318287	0.0593005405151317	1.30234914347132	T65770	13219	Hs.116237	Vav 1 oncogene	VAV1	VAV1	Not_significant
-0.719511038806097	-0.759979606588459	-5.13456086202768	0.000131368424192044	0.0597606521967009	1.2511699613631	H00677	8147	Hs.652165	Centrosomal protein 68kDa	CEP68	CEP68	Not_significant
-0.540262774106451	-0.542584846634406	-5.22374771860283	0.000133334788479922	0.0597606521967009	1.23152536250239	H65659	9041	Hs.464137	Acyl-Coenzyme A oxidase 1, palmitoyl	ACOX1	ACOX1	Not_significant
-0.579467223308801	-0.585169975422031	-5.01750112748177	0.00015761789941998	0.068365492761324	1.08776748121434	AA775325	7332	Hs.175473	Adenylate kinase 1	AK1	AK1	Not_significant
-0.564907998430576	-0.570416239560186	-4.97627695608431	0.000170644222154038	0.07170256909635	1.01779558483467	AA702422	6952	Hs.532632	Ataxin 3	ATXN3	ATXN3	Not_significant
-0.461194610685749	-0.454505596089761	-4.94971317614914	0.000179622550328335	0.0731880245974179	0.972574178163929	AA609600	6080	Hs.655320	Chromosome 8 open reading frame 40	C8orf40	C8orf40	Not_significant
-0.489527617164188	-0.540697253916216	-4.90027344820656	0.000197653965858564	0.0756274662898298	0.888134505251833	AA683351	6798	Hs.466917	Splicing factor, arginine/serine-rich 16	SFRS16	SFRS16	Not_significant
-0.586065983482452	-0.594692769088689	-4.89448274424883	0.000199884800856127	0.0756274662898298	0.878221185132133	W94063	14400	Hs.433629	Small proline-rich protein 4	SPRR4	SPRR4	Not_significant
0.941624169297309	0.94141093761027	4.99983999898696	0.000202483176144123	0.0756274662898298	0.869789547814539	AA975388	7750	Hs.37044	Peripherin	PRPH	PRPH	Not_significant
-0.48436710508394	-0.482204812726247	-4.78697294935663	0.000246367664462798	0.0874209242895264	0.69330426251342	AA022561	1294	Hs.517717	SATB homeobox 1	SATB1	SATB1	Not_significant
-0.599620884984113	-0.617940090812776	-4.79182487295064	0.000247061960657594	0.0874209242895264	0.692024595478639	AA176491	2303	Data not found		NA	AA176491	Not_significant
-0.47025990147242	-0.487219951864079	-4.69871423783101	0.000292790212120206	0.100945056209443	0.540300521811611	AA035130	1428	Hs.523550	Zinc finger protein 364	ZNF364	ZNF364	Not_significant
0.893830065086508	0.893830065086508	4.89695408690478	0.000301313978242765	0.101286693786306	0.51915456582959	N81032	11169	Data not found		NA	N81032	Not_significant
-0.509874531994333	-0.493479844397451	-4.66830087982749	0.00031079836573326	0.10192670306462	0.487333823207923	AA625664	6274	Hs.604103	Clone DT1P1A11 mRNA, CAG repeat region	NA	AA625664	Not_significant
-0.469305533283028	-0.496901517383691	-4.64639416232904	0.000324472248238896	0.103877472614766	0.449106534213429	AA705382	7075	Hs.501296	AT rich interactive domain 3A (BRIGHT-like)	ARID3A	ARID3A	Not_significant
-0.578766068947719	-0.567754157750363	-4.63916303031614	0.000336293969139194	0.105158342070828	0.419702138268054	W45518	13853	Hs.647069	Solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)	SLC4A2	SLC4A2	Not_significant
-0.522030109305484	-0.487174875151431	-4.61030681841349	0.000348360865605301	0.10645591361202	0.385998265096959	T66902	13232	Hs.186649	Hypothetical protein LOC54103	LOC54103	LOC54103	Not_significant
-0.629135156728602	-0.591805863637165	-4.61926720516024	0.000359035488690942	0.107279804020853	0.364544134857492	AA465692	5060	Hs.331431	SCC-112 protein	SCC-112	SCC-112	Not_significant
-0.572612288169144	-0.571451182334062	-4.58307772974546	0.000375359257280218	0.107450280118155	0.32204477731626	W93523	14388	Hs.167805	Enhancer of polycomb homolog 1 (Drosophila)	EPC1	EPC1	Not_significant
-0.455316330622507	-0.488912561764157	-4.57215382465157	0.000375588514469233	0.107450280118155	0.3190969365977	T47788	12996	Hs.655377	Apoptosis-inducing factor, mitochondrion-associated, 2	AIFM2	AIFM2	Not_significant
