	base	scan_adjusted	scanner_adjusted	both_adjusted
base	1	0.999346152726333	0.990606411413319	0.98994874504569
scan_adjusted	0.999346152726333	1	0.990026842900126	0.990566131250924
scanner_adjusted	0.990606411413319	0.990026842900126	1	0.99917745204336
both_adjusted	0.98994874504569	0.990566131250924	0.99917745204336	1
