	base	scan_adjusted	scanner_adjusted	both_adjusted
base	1	0.99873717919201	0.990598931705654	0.989169746482434
scan_adjusted	0.99873717919201	1	0.989412854238327	0.990418939403081
scanner_adjusted	0.990598931705654	0.989412854238327	1	0.998518745741655
both_adjusted	0.989169746482434	0.990418939403081	0.998518745741655	1
