NGenes	Direction	PValue	FDR	geneset
23	Up	0.284709863158006	0.708539503861647	KEGG_ARACHIDONIC_ACID_METABOLISM
19	Down	0.284765722273702	0.708539503861647	KEGG_PRION_DISEASES
67	Down	0.293484657536575	0.708539503861647	KEGG_PROSTATE_CANCER
7	Up	0.293785364507612	0.708539503861647	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE
5	Down	0.297956095372769	0.708539503861647	KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS
36	Up	0.298581925808135	0.708539503861647	KEGG_ECM_RECEPTOR_INTERACTION
22	Down	0.300273874831133	0.708539503861647	KEGG_THYROID_CANCER
23	Down	0.304825779145472	0.708539503861647	KEGG_TYPE_I_DIABETES_MELLITUS
11	Down	0.305818720996527	0.708539503861647	KEGG_OLFACTORY_TRANSDUCTION
66	Down	0.315744619595772	0.708539503861647	KEGG_COLORECTAL_CANCER
50	Down	0.321390644093024	0.708539503861647	KEGG_LONG_TERM_DEPRESSION
22	Down	0.323039416128639	0.708539503861647	KEGG_DNA_REPLICATION
11	Up	0.323047947051853	0.708539503861647	KEGG_TASTE_TRANSDUCTION
24	Down	0.324246891597703	0.708539503861647	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION
20	Up	0.331758503749537	0.71611286784961	KEGG_LYSINE_DEGRADATION
69	Down	0.342126783488042	0.716175307453792	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
68	Down	0.344456216651087	0.716175307453792	KEGG_RENAL_CELL_CARCINOMA
8	Down	0.349212951448373	0.716175307453792	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS
7	Down	0.361983993112123	0.716175307453792	KEGG_O_GLYCAN_BIOSYNTHESIS
9	Down	0.362532901259327	0.716175307453792	KEGG_CIRCADIAN_RHYTHM_MAMMAL
29	Down	0.366853234172898	0.716175307453792	KEGG_DRUG_METABOLISM_CYTOCHROME_P450
49	Down	0.368686901857488	0.716175307453792	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY
30	Up	0.369253090996786	0.716175307453792	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY
11	Up	0.385357385862153	0.716175307453792	KEGG_RENIN_ANGIOTENSIN_SYSTEM
26	Down	0.387460459765288	0.716175307453792	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY
68	Down	0.394736476338608	0.716175307453792	KEGG_PANCREATIC_CANCER
6	Up	0.395615520984527	0.716175307453792	KEGG_STEROID_BIOSYNTHESIS
5	Up	0.401065183548669	0.716175307453792	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS
11	Down	0.407907183317065	0.716175307453792	KEGG_HISTIDINE_METABOLISM
60	Down	0.408940506222619	0.716175307453792	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION
24	Down	0.411758286806063	0.716175307453792	KEGG_INOSITOL_PHOSPHATE_METABOLISM
14	Up	0.411808220215788	0.716175307453792	KEGG_DORSO_VENTRAL_AXIS_FORMATION
34	Down	0.41294555078264	0.716175307453792	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM
67	Down	0.413516391688005	0.716175307453792	KEGG_LYSOSOME
15	Down	0.416702467370127	0.716175307453792	KEGG_ASTHMA
49	Down	0.417443916365324	0.716175307453792	KEGG_GAP_JUNCTION
