	GSM190997	GSM190998	GSM190999	GSM191000	GSM191001	GSM191002	GSM191003	GSM191004	GSM191005	GSM191006	GSM191007	GSM191008
GSM190997	0.991211604522013	-0.0649355312198997	-0.104065824777532	0.00547373122220038	-0.116386344189175	0.11320363267464	0.0504955303216207	0.165259261843496	-0.140483359363016	0.135538678204837	-0.0186202266649643	0.21308846370995
GSM190998	-0.0590513436099945	0.992888027061589	0.144045567843515	0.0867399286220866	0.16455956704348	-0.0063133456962574	0.0929782034572078	-0.0022194543664331	0.157337736820016	0.0390578407189981	0.0909115506835378	-0.0415669572027029
GSM190999	-0.101146223022692	0.15222665866292	0.991973349834697	0.0432989229753645	0.269495119713935	0.117386854092519	0.0845187825256327	-0.063962888439675	0.310473038573726	0.0765871841439459	0.0436052354056552	-0.157214191089746
GSM191000	0.0462414981163094	0.0745787564216657	0.0561405462028949	0.0849248840026423	0.108145817703473	0.0808555327821841	0.983689429873036	0.147571773027189	0.121024996756916	0.113940299954288	0.0347828193171855	0.115704640172542
GSM191001	0.17243981743527	0.0108406463523639	-0.0520648042297113	0.0513499584742596	0.0248643731515698	0.0124822875109506	0.152758955374757	0.989490061447054	0.127257304730882	0.136051838814228	-0.0279159211798617	0.285680542487641
GSM191002	0.132953843475254	0.0412134164414807	0.0780656743117831	0.0378992507600082	0.0838597669895205	0.103676307189508	0.127845269429009	0.128367959039228	0.113290701529039	0.993453700059889	0.0251557544443718	0.109072597617257
GSM191003	-0.0978933748447348	0.128603027401356	0.225137717244866	0.0708301046432519	0.217175757595135	-0.0159460452220335	0.121882374181401	0.114175339257538	0.985640400925254	0.0846847662560348	0.070007256111446	0.0066621737303963
GSM191004	-0.117301475263184	0.171906810327008	0.26908002721107	0.0850119498687032	0.992899400189861	0.0718234154955724	0.114161696714178	0.01764914954134	0.284159415929915	0.0782529742094029	0.110825622255303	-0.00742327460138239
GSM191005	-0.00416735150211616	0.0947906429310246	0.0335875046495671	0.0841916424993952	0.10605033155811	-0.0823585240630532	0.0509960740316644	-0.00366330314423093	0.0860740272121678	0.0296964640750503	0.987967851879811	-0.00567137633285392
GSM191006	0.109213917870088	-0.0105718166256468	0.107237153039867	-0.0160906278119133	0.0761964239210635	0.987975806858843	0.0746851934335654	0.00820152407164191	-0.0350189197710574	0.107776841894484	-0.068814011507732	0.00218945023913617
GSM191007	0.197197040432994	-0.0257997567393385	-0.136596641044508	0.0591883499423717	0.00953013350862032	0.0231618870164647	0.118904175708929	0.263954899105951	-0.0245053868796228	0.104350713105745	-0.0254965267168527	0.990289840981814
GSM191008	0.0148241550306278	0.0731135795635513	0.034556071230579	0.983855827028424	0.0772145855076022	0.00418975282071713	0.0812846242497105	0.0272337454157938	0.0800198552239711	0.040486175028491	0.0757102805877925	0.0312593482078997
