raw_file_gsm	matched_gsm	cor_with_matched_geo_processed
GSM190997	GSM190997	0.991211604522013
GSM190998	GSM190998	0.992888027061589
GSM190999	GSM190999	0.991973349834697
GSM191000	GSM191003	0.983689429873036
GSM191001	GSM191004	0.989490061447054
GSM191002	GSM191006	0.993453700059889
GSM191003	GSM191005	0.985640400925254
GSM191004	GSM191001	0.992899400189861
GSM191005	GSM191007	0.987967851879811
GSM191006	GSM191002	0.987975806858843
GSM191007	GSM191008	0.990289840981814
GSM191008	GSM191000	0.983855827028424
