ID	UG_CLUSTER	DESCRIPTION	DESCRIPTION_SUMMARY	GENE_SYMBOL	GB_ACC	SPOT_ID
6162	Hs.513632	Coenzyme Q9 homolog (S. cerevisiae)		COQ9	AA620428	
6163	Hs.664085	Transcribed locus		NA	AA620463	
6164	Hs.664086	Transcribed locus		NA	AA620472	
6165	Hs.75069	Serine hydroxymethyltransferase 2 (mitochondrial)		SHMT2	AA620477	
6166	Hs.269988	ROD1 regulator of differentiation 1 (S. pombe)	"ROD1 is a functional homolog of nrd1, an S. pombe RNA-binding protein that suppresses the onset of differentiation.[supplied by OMIM]"	ROD1	AA620479	
6167	Hs.180414	Heat shock 70kDa protein 8	The product encoded by this gene belongs to the heat shock protein 70 family which contains both heat-inducible and constitutively expressed members. The latter are called heat-shock cognate proteins. This gene encodes a heat-shock cognate protein. This protein binds to nascent polypeptides to facilitate correct folding. It also functions as an ATPase in the disassembly of clathrin-coated vesicles during transport of membrane components through the cell. Two alternatively spliced variants have been characterized to date.	HSPA8	AA620511	
6168	Hs.593639	"Transcribed locus, weakly similar to XP_517655.1 similar to KIAA0825 protein [Pan troglodytes]"		NA	AA620516	
6169	Data not found			NA	AA620525	
6170	Hs.50732	"Protein kinase, AMP-activated, beta 2 non-catalytic subunit"	"The protein encoded by this gene is a regulatory subunit of the AMP-activated protein kinase (AMPK). AMPK is a heterotrimer consisting of an alpha catalytic subunit, and non-catalytic beta and gamma subunits. AMPK is an important energy-sensing enzyme that monitors cellular energy status. In response to cellular metabolic stresses, AMPK is activated, and thus phosphorylates and inactivates acetyl-CoA carboxylase (ACC) and beta-hydroxy beta-methylglutaryl-CoA reductase (HMGCR), key enzymes involved in regulating de novo biosynthesis of fatty acid and cholesterol. This subunit may be a positive regulator of AMPK activity. It is highly expressed in skeletal muscle and thus may have tissue-specific roles."	PRKAB2	AA620527	
6171	Hs.82719	"Yip1 domain family, member 6"		YIPF6	AA620597	
6172	Hs.655409	Transmembrane emp24 protein transport domain containing 8		TMED8	AA620598	
6173	Hs.454835	"Tubulin tyrosine ligase-like family, member 10"		TTLL10	AA620612	
6174	Hs.486189	"Membrane associated guanylate kinase, WW and PDZ domain containing 3"		MAGI3	AA620614	
6175	Data not found			NA	AA620619	
6176	Hs.656179	Transcribed locus		NA	AA620628	
6177	Hs.535760	Hypothetical protein LOC641518		LOC641518	AA620629	
6178	Hs.166647	Transcribed locus		NA	AA620632	
6179	Hs.478064	Transcribed locus		NA	AA620642	
6180	Hs.596096	Transcribed locus		NA	AA620652	
6181	Data not found			NA	AA620669	
