ID	UG_CLUSTER	DESCRIPTION	DESCRIPTION_SUMMARY	GENE_SYMBOL	GB_ACC	SPOT_ID
1001	Hs.440382	Tripartite motif-containing 27	"The protein encoded by this gene is a member of the tripartite motif (TRIM) family. The TRIM motif includes three zinc-binding domains, a RING, a B-box type 1 and a B-box type 2, and a coiled-coil region. This protein localizes to the nuclear matrix. It interacts with the enhancer of polycomb protein and represses gene transcription. It is also thought to be involved in the differentiation of male germ cells. Rearrangements of this gene and the RET gene result in a gene encoding the ret transforming protein. Two alternatively spliced transcript variants for this gene have been described."	TRIM27	AA677408	
1002	Hs.467408	Tripartite motif-containing 28	"The protein encoded by this gene mediates transcriptional control by interaction with the Kruppel-associated box repression domain found in many transcription factors. The protein localizes to the nucleus and is thought to associate with specific chromatin regions. The protein is a member of the tripartite motif family. This tripartite motif includes three zinc-binding domains, a RING, a B-box type 1 and a B-box type 2, and a coiled-coil region."	TRIM28	AA663435	
1003	Hs.54941	"Phosphorylase kinase, alpha 2 (liver)"		PHKA2	AA677340	
1004	Hs.664082	Transcribed locus		NA	AA620293	
1005	Data not found			NA	AA598877	
1006	Hs.662839	Transcribed locus		NA	AA482037	
1007	Hs.600681	"Zinc finger, MIZ-type containing 2"		ZMIZ2	AA625583	
1008	Hs.648555	Transcribed locus		NA	AA664004	
1009	Hs.224616	"ER degradation enhancer, mannosidase alpha-like 1"		EDEM1	AA630346	
1010	Hs.585464	Coiled-coil domain containing 7		CCDC7	AA609088	
1011	Data not found			NA	AA676354	
1012	Hs.172550	Polypyrimidine tract binding protein 1	"This gene belongs to the subfamily of ubiquitously expressed heterogeneous nuclear ribonucleoproteins (hnRNPs). The hnRNPs are RNA-binding proteins and they complex with heterogeneous nuclear RNA (hnRNA). These proteins are associated with pre-mRNAs in the nucleus and appear to influence pre-mRNA processing and other aspects of mRNA metabolism and transport. While all of the hnRNPs are present in the nucleus, some seem to shuttle between the nucleus and the cytoplasm. The hnRNP proteins have distinct nucleic acid binding properties. The protein encoded by this gene has four repeats of quasi-RNA recognition motif (RRM) domains that bind RNAs. This protein binds to the intronic polypyrimidine tracts that requires pre-mRNA splicing and acts via the protein degradation ubiquitin-proteasome pathway. It may also promote the binding of U2 snRNP to pre-mRNAs. This protein is localized in the nucleoplasm and it is also detected in the perinucleolar structure. Alternatively spliced transcript variants encoding different isoforms have been described."	PTBP1	AA677517	
1013	Hs.515259	Single stranded DNA binding protein 4		SSBP4	AA496349	
1014	Hs.664160	Transcribed locus		NA	AA626726	
1015	Hs.647011	MutS homolog 5 (E. coli)	"This gene encodes a member of the mutS family of proteins that are involved in DNA mismatch repair or meiotic recombination processes. This protein is similar to a Saccharomyces cerevisiae protein that participates in meiotic segregation fidelity and crossing-over. This protein forms heterooligomers with another member of this family, mutS homolog 4. Alternative splicing results in four transcript variants encoding three different isoforms."	MSH5	AA621155	
1016	Hs.632015	Argininosuccinate lyase	"Argininosuccinate lyase (EC 4.3.2.1) is a urea cycle enzyme that catalyzes the cleavage of argininosuccinate to fumarate and arginine, an essential step in the process of detoxification of ammonia via the urea cycle.[supplied by OMIM]"	ASL	AA486741	
1017	Hs.34871	Zinc finger E-box binding homeobox 2	"The SMADIP1 gene (also known as SIP1) is a member of the delta-EF1 (TCF8; MIM 189909)/Zfh1 family of 2-handed zinc finger/homeodomain proteins. SMADIP1 interacts with receptor-mediated, activated full-length SMADs (see MIM 605568).[supplied by OMIM]"	ZEB2	AA490605	
1018	Hs.649138	Transcribed locus		NA	AA677289	
1019	Hs.59889	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)		HMGCS2	AA496149	
1020	Hs.534360	Thyroid hormone receptor interactor 6		TRIP6	AA485677	
1021	Hs.663031	MRNA; cDNA DKFZp667L198 (from clone DKFZp667L198)		NA	AA496133	
1022	Hs.503093	"Zinc finger protein 36, C3H type-like 2"	This gene is a member of the TIS11 family of early response genes. Family members are induced by various agonists such as the phorbol ester TPA and the polypeptide mitogen EGF. The encoded protein contains a distinguishing putative zinc finger domain with a repeating cys-his motif. This putative nuclear transcription factor most likely functions in regulating the response to growth factors.	ZFP36L2	AA480880	
1023	Hs.585396	Thyroid hormone receptor associated protein 3		THRAP3	AA010192	
1024	Hs.71040	"Adaptor-related protein complex 1, mu 1 subunit"	"The protein encoded by this gene is the medium chain of the trans-Golgi network clathrin-associated protein complex AP-1. The other components of this complex are beta-prime-adaptin, gamma-adaptin, and the small chain AP1S1. This complex is located at the Golgi vesicle and links clathrin to receptors in coated vesicles. These vesicles are involved in endocytosis and Golgi processing."	AP1M1	AA644232	
1025	Hs.644646	Transcribed locus		NA	AA608707	
1026	Hs.599835	Transcribed locus		NA	AA460005	
1027	Hs.658816	SHQ1 homolog (S. cerevisiae)		SHQ1	AA010868	
1028	Data not found			NA	AA677361	
1029	Hs.570355	Activity-dependent neuroprotector	"Vasoactive intestinal peptide (VIP) is a neuroprotective factor that has been shown to have a stimulatory effect on the growth of some tumor cells and an inhibitory effect on others. The protein encoded by this gene is upregulated by VIP and may be involved in the stimulatory effect of VIP on certain tumor cells. The encoded protein contains one homeobox and nine zinc finger domains, suggesting that it functions as a transcription factor. This gene is also upregulated in normal proliferative tissues. Finally, the encoded protein may increase the viability of certain cell types through modulation of p53 activity. Two transcript variants encoding the same protein have been found for this gene."	ADNP	AA495802	
1030	Hs.292078	"La ribonucleoprotein domain family, member 1"		LARP1	AA609463	
1031	Hs.201897	"Polymerase (DNA directed), alpha 2 (70kD subunit)"		POLA2	AA486289	
1032	Hs.515018	"Guanine nucleotide binding protein (G protein), alpha 13"		GNA13	AA625756	
1033	Hs.511816	"GrpE-like 2, mitochondrial (E. coli)"		GRPEL2	AA598831	
1034	Hs.371776	Chromosome 8 open reading frame 74		C8orf74	AA609189	
1035	Hs.76244	Spermidine synthase	"The polyamines putrescine, spermine, and spermidine are ubiquitous polycationic mediators of cell growth and differentiation. Spermidine synthase is one of four enzymes in the polyamine-biosynthetic pathway and carries out the final step of spermidine biosynthesis. This enzyme catalyzes the conversion of putrescine to spermidine using decarboxylated S-adenosylmethionine as the cofactor."	SRM	AA669545	
1036	Hs.529846	Calcium modulating ligand	"The immunosuppressant drug cyclosporin A blocks a calcium-dependent signal from the T-cell receptor (TCR) that normally leads to T-cell activation. When bound to cyclophilin B, cyclosporin A binds and inactivates the key signaling intermediate calcineurin. The protein encoded by this gene functions similarly to cyclosporin A, binding to cyclophilin B and acting downstream of the TCR and upstream of calcineurin by causing an influx of calcium. This integral membrane protein appears to be a new participant in the calcium signal transduction pathway, implicating cyclophilin B in calcium signaling, even in the absence of cyclosporin."	CAMLG	AA521411	
1037	Hs.149367	KIAA0776		KIAA0776	AA676712	
1038	Hs.600633	Transcribed locus		NA	AA620727	
1039	Hs.414648	Tektin 3	This gene product belongs to the tektin family of proteins. Tektins comprise a family of filament-forming proteins that are coassembled with tubulins to form ciliary and flagellar microtubules. The exact function of this gene is not known.	TEKT3	AA609403	
1040	Hs.482491	Mitochondrial ribosomal protein S27	"Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that may be a functional partner of the death associated protein 3 (DAP3)."	MRPS27	AA486524	
1041	Hs.592262	"Myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)"		MLL5	AA598873	
1042	Hs.235750	Translocase of inner mitochondrial membrane 10 homolog (yeast)	TIMM10 belongs to a family of evolutionarily conserved proteins that are organized in heterooligomeric complexes in the mitochondrial intermembrane space. These proteins mediate the import and insertion of hydrophobic membrane proteins into the mitochondrial inner membrane.[supplied by OMIM]	TIMM10	AA670296	
1043	Hs.567267	"Fanconi anemia, complementation group A"	"The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, and FANCL. The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group A. Alternative splicing results in multiple transcript variants encoding different isoforms. Mutations in this gene are the most common cause of Fanconi anemia."	FANCA	AA644129	
1044	Hs.660788	"Transcribed locus, strongly similar to NP_001019847.1 2 open reading frame 19 [Homo sapiens]"		NA	AA609216	
1045	Hs.380250	"Interferon, gamma-inducible protein 16"		IFI16	AA491191	
1046	Hs.173094	TSPY-like 5		TSPYL5	AA626024	
1047	Hs.592599	Phosphoglycerate mutase 1 (brain)		PGAM1	AA676970	
1048	Hs.420269	"Collagen, type VI, alpha 2"	"This gene encodes one of the three alpha chains of type VI collagen, a beaded filament collagen found in most connective tissues. The product of this gene contains several domains similar to von Willebrand Factor type A domains. These domains have been shown to bind extracellular matrix proteins, an interaction that explains the importance of this collagen in organizing matrix components. Mutations in this gene are associated with Bethlem myopathy and Ullrich scleroatonic muscular dystrophy. Three transcript variants have been identified for this gene."	COL6A2	AA633747	
1049	Hs.371723	"Aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)"	"This protein belongs to the aldehyde dehydrogenase family of proteins. This gene encodes a mitochondrial NAD(+)-dependent succinic semialdehyde dehydrogenase. A deficiency of this enzyme, known as 4-hydroxybutyricaciduria, is a rare inborn error in the metabolism of the neurotransmitter 4-aminobutyric acid (GABA). In response to the defect, physiologic fluids from patients accumulate GHB, a compound with numerous neuromodulatory properties. Two transcript variants encoding distinct isoforms have been identified for this gene."	ALDH5A1	AA486410	
1050	Hs.643030	"Lipase A, lysosomal acid, cholesterol esterase (Wolman disease)"	"This gene encodes lipase A, the lysosomal acid lipase (also known as cholesterol ester hydrolase). This enzyme functions in the lysosome to catalyze the hydrolysis of cholesteryl esters and triglycerides. Mutations in this gene can result in Wolman disease and cholesteryl ester storage disease."	LIPA	AA630104	
1051	Hs.202010	Phospholipase C-like 2		PLCL2	AA677432	
1052	Hs.534255	Beta-2-microglobulin		B2M	AA670408	
1053	Hs.600897	Transcribed locus		NA	AA668668	
1054	Hs.388024	Zinc finger protein 76 (expressed in testis)		ZNF76	AA626012	
1055	Hs.409578	Serine/threonine kinase 38		STK38	AA521346	
1056	Hs.40919	"Asparagine-linked glycosylation 2 homolog (S. cerevisiae, alpha-1,3-mannosyltransferase)"	The product of this gene belongs to glycosyltransferase 1 family. This enzyme mannosylates Man(2)GlcNAc(2)-dolichol diphosphate and Man(1)GlcNAc(2)-dolichol diphosphate to form Man(3)GlcNAc(2)-dolichol diphosphate. Defects in this gene are the cause of congenital disorder of glycosylation type Ih (CDG-Ii). Alternatively spliced transcript variants encoding different isoforms have been identified.	ALG2	AA489015	
1057	Hs.31442	RecQ protein-like 4		RECQL4	AA620446	
1058	Hs.165575	F-box protein 4	"This gene encodes a member of the F-box protein family which is characterized by an approximately 40 amino acid motif, the F-box. The F-box proteins constitute one of the four subunits of the ubiquitin protein ligase complex called SCFs (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination. The F-box proteins are divided into 3 classes: Fbws containing WD-40 domains, Fbls containing leucine-rich repeats, and Fbxs containing either different protein-protein interaction modules or no recognizable motifs. The protein encoded by this gene belongs to the Fbxs class. Alternative splicing of this gene generates 2 transcript variants."	FBXO4	AA446001	
1059	Hs.28070	KIAA0753		KIAA0753	AA482035	
1060	Hs.45107	SEC11 homolog C (S. cerevisiae)		SEC11C	AA644345	
1061	Hs.525015	Transcribed locus		NA	AA486723	
1062	Hs.605145	"CDNA: FLJ22806 fis, clone KAIA2845"		NA	AA598828	
1063	Hs.202577	"CDNA FLJ34585 fis, clone KIDNE2008758"		NA	AA486551	
1064	Hs.520917	TRNA-yW synthesizing protein 1 homolog (S. cerevisiae)		TYW1	AA411648	
1065	Hs.595173	Transcribed locus		NA	AA496576	
1066	Hs.489734	Hypothetical protein FLJ31818		FLJ31818	AA495938	
1067	Hs.522584	"Thymosin, beta 4, X-linked"	"This gene encodes an actin sequestering protein which plays a role in regulation of actin polymerization. The protein is also involved in cell proliferation, migration, and differentiation. This gene escapes X inactivation and has a homolog on chromosome Y."	TMSB4X	AA634103	
1068	Hs.534384	Polyglutamine binding protein 1	PQBP1 is a nuclear polyglutamine-binding protein that contains a WW domain.[supplied by OMIM]	PQBP1	AA666078	
1069	Hs.50002	Chemokine (C-C motif) ligand 19	"This gene is one of several CC cytokine genes clustered on the p-arm of chromosome 9. Cytokines are a family of secreted proteins involved in immunoregulatory and inflammatory processes. The CC cytokines are proteins characterized by two adjacent cysteines. The cytokine encoded by this gene may play a role in normal lymphocyte recirculation and homing. It also plays an important role in trafficking of T cells in thymus, and in T cell and B cell migration to secondary lymphoid organs. It specifically binds to chemokine receptor CCR7."	CCL19	AA680186	
1070	Hs.591374	Early B-cell factor 3		EBF3	AA009677	
1071	Hs.567647	Transmembrane protein 106A		TMEM106A	AA487262	
1072	Hs.517155	"Transmembrane, prostate androgen induced RNA"		TMEPAI	AA487031	
1073	Hs.657013	Transcribed locus		NA	AA460260	
1074	Hs.511477	Suppressor of hairy wing homolog 4 (Drosophila)		SUHW4	AA609682	
1075	Hs.433062	Chromosome 6 open reading frame 148		C6orf148	AA599104	
1076	Hs.540233	Transcribed locus		NA	AA629122	
1077	Hs.440320	Cullin 5		CUL5	AA086475	
1078	Hs.643279	Eukaryotic translation initiation factor 4E binding protein 2		EIF4EBP2	AA487457	
1079	Hs.500771	Dynamin binding protein		DNMBP	AA453501	
1080	Hs.486696	"Epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)"	This gene encodes a dual-specificity phosphatase that associates with polyribosomes. The encoded protein may be involved in the regulation of glycogen metabolism. Mutations in this gene have been associated with myoclonic epilepsy of Lafora. Alternative splicing results in multiple transcript variants.	EPM2A	AA490925	
1081	Hs.369440	Sideroflexin 1		SFXN1	AA599107	
1082	Hs.490765	"Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"	"Action potentials in vertebrate neurons are followed by an afterhyperpolarization (AHP) that may persist for several seconds and may have profound consequences for the firing pattern of the neuron. Each component of the AHP is kinetically distinct and is mediated by different calcium-activated potassium channels. The protein encoded by this gene is activated before membrane hyperpolarization and is thought to regulate neuronal excitability by contributing to the slow component of synaptic AHP. The encoded protein is an integral membrane protein that forms a voltage-independent calcium-activated channel with three other calmodulin-binding subunits. This gene contains two CAG repeat regions in the coding sequence. It was thought that expansion of one or both of these repeats could lead to an increased susceptibility to schizophrenia or bipolar disorder, but studies indicate that this is probably not the case. This gene is a member of the KCNN family of potassium channel genes. Two transcript variants encoding two different isoforms have been found for this gene. One of the variants lacks the CAG repeat regions."	KCNN3	AA491238	
1083	Hs.514107	Chemokine (C-C motif) ligand 3		CCL3	AA677522	
1084	Hs.32769	MRNA full length insert cDNA clone EUROIMAGE 362430		NA	AA001199	
1085	Hs.527973	Suppressor of cytokine signaling 3	"This gene encodes a member of the STAT-induced STAT inhibitor (SSI), also known as suppressor of cytokine signaling (SOCS), family. SSI family members are cytokine-inducible negative regulators of cytokine signaling. The expression of this gene is induced by various cytokines, including IL6, IL10, and interferon (IFN)-gamma. The protein encoded by this gene can bind to JAK2 kinase, and inhibit the activity of JAK2 kinase. Studies of the mouse counterpart of this gene suggested the roles of this gene in the negative regulation of fetal liver hematopoiesis, and placental development."	SOCS3	AA001219	
1086	Hs.654700	"Zinc finger, CCHC domain containing 7"		ZCCHC7	AA001359	
1087	Hs.157883	Zinc finger protein 187		ZNF187	AA001376	
1088	Hs.591501	"Zinc metallopeptidase (STE24 homolog, S. cerevisiae)"	The protein encoded by this gene is a zinc metalloprotease similar to yeast Ste24p. It is an integral membrane protein belonging to peptidase family M48 and is found in the endoplasmic reticulum and possibly in the Golgi compartment. It is thought to be involved in the proteolytic processing of farnesylated proteins.	ZMPSTE24	AA001403	
1089	Hs.544612	Transcribed locus		NA	AA001435	
1090	Hs.603755	Meis homeobox 1	"Homeobox genes, of which the most well-characterized category is represented by the HOX genes, play a crucial role in normal development. In addition, several homeoproteins are involved in neoplasia. MEIS1 encodes a homeobox protein belonging to the TALE ('three amino acid loop extension') family of homeodomain-containing proteins."	MEIS1	AA001444	
1091	Hs.69749	KIAA0087 gene product		KIAA0087	AA001536	
1092	Data not found			NA	AA001614	
1093	Hs.380412	RNA (guanine-9-) methyltransferase domain containing 2		RG9MTD2	AA001648	
1094	Hs.649408	Insulin-like growth factor 1 receptor	This receptor binds insulin-like growth factor with a high affinity. It has tyrosine kinase activity. The insulin-like growth factor I receptor plays a critical role in transformation events. Cleavage of the precursor generates alpha and beta subunits. It is highly overexpressed in most malignant tissues where it functions as an anti-apoptotic agent by enhancing cell survival.	IGF1R	AA001709	
1095	Data not found			NA	AA001718	
1096	Hs.445803	DC2 protein		DC2	AA001745	
1097	Hs.472437	"Microtubule-associated protein, RP/EB family, member 1"	"The protein encoded by this gene was first identified by its binding to the APC protein which is often mutated in familial and sporadic forms of colorectal cancer. This protein localizes to microtubules, especially the growing ends, in interphase cells. During mitosis, the protein is associated with the centrosomes and spindle microtubules. The protein also associates with components of the dynactin complex and the intermediate chain of cytoplasmic dynein. Because of these associations, it is thought that this protein is involved in the regulation of microtubule structures and chromosome stability. This gene is a member of the RP/EB family."	MAPRE1	AA001749	
1098	Hs.657943	Transcribed locus		NA	AA001834	
1099	Hs.269211	"Zinc finger, MYM-type 4"		ZMYM4	AA001835	
1100	Hs.406574	Transcribed locus		NA	AA001844	
1101	Hs.660349	Transcribed locus		NA	AA001861	
1102	Data not found			NA	AA001879	
1103	Hs.59077	Transcribed locus		NA	AA001884	
1104	Hs.119825	"Spectrin, alpha, erythrocytic 1 (elliptocytosis 2)"		SPTA1	AA001897	
1105	Hs.597829	Transcribed locus		NA	AA001924	
1106	Hs.19603	Transcribed locus		NA	AA001976	
1107	Hs.213470	"Proteasome (prosome, macropain) subunit, beta type, 7"	"The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are composed of 7 beta subunits. Proteasomes are distributed throughout eukaryotic cells at a high concentration and cleave peptides in an ATP/ubiquitin-dependent process in a non-lysosomal pathway. An essential function of a modified proteasome, the immunoproteasome, is the processing of class I MHC peptides. This gene encodes a member of the proteasome B-type family, also known as the T1B family, that is a 20S core beta subunit in the proteasome. Expression of this catalytic subunit is downregulated by gamma interferon and proteolytic processing is required to generate a mature subunit. This subunit is not present in the immunoproteasome and is replaced by catalytic subunit 2i (proteasome beta 10 subunit)."	PSMB7	AA002063	
1108	Data not found			NA	AA002069	
1109	Hs.132448	CD1c molecule		CD1C	AA002086	
1110	Hs.591756	Acyl-CoA thioesterase 12		ACOT12	AA002091	
1111	Hs.597826	Transcribed locus		NA	AA002150	
1112	Hs.591256	Transcribed locus		NA	AA002153	
1113	Hs.434525	Hypothetical protein LOC285181		LOC285181	AA002166	
1114	Hs.633791	Transcribed locus		NA	AA002226	
1115	Hs.658426	Transcribed locus		NA	AA002258	
1116	Hs.656865	Slowmo homolog 2 (Drosophila)		SLMO2	AA004210	
1117	Data not found			NA	AA004321	
1118	Data not found			NA	AA004353	
1119	Hs.77498	Phosphoribosyl pyrophosphate synthetase-associated protein 1		PRPSAP1	AA004447	
1120	Hs.216653	F-box protein 9	"This gene encodes a member of the F-box protein family which is characterized by an approximately 40 amino acid motif, the F-box. The F-box proteins constitute one of the four subunits of the ubiquitin protein ligase complex called SCFs (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination. The F-box proteins are divided into 3 classes: Fbws containing WD-40 domains, Fbls containing leucine-rich repeats, and Fbxs containing either different protein-protein interaction modules or no recognizable motifs. The protein encoded by this gene belongs to the Fbxs class. Alternative splicing of this gene generates at least 3 transcript variants diverging at the 5' terminus."	FBXO9	AA004484	
1121	Hs.466714	"Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)"		PAF1	AA004525	
1122	Hs.568913	Transcribed locus		NA	AA004528	
1123	Data not found			NA	AA004595	
1124	Hs.60136	Transcribed locus		NA	AA004612	
1125	Hs.533566	"H19, imprinted maternally expressed untranslated mRNA"		H19	AA004638	
1126	Hs.555996	Clone FLC1464 PRO3102		NA	AA004675	
1127	Hs.164797	Triggering receptor expressed on myeloid cells-like 2		TREML2	AA004711	
1128	Hs.659480	Transcribed locus		NA	AA004719	
1129	Hs.654951	"Dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit"	Dolichol-phosphate mannose (Dol-P-Man) serves as a donor of mannosyl residues on the lumenal side of the endoplasmic reticulum (ER).  Lack of Dol-P-Man results in defective surface expression of GPI-anchored proteins.  Dol-P-Man is synthesized from GDP-mannose and dolichol-phosphate on the cytosolic side of the ER by the enzyme dolichyl-phosphate mannosyltransferase.  Human DPM1 lacks a carboxy-terminal transmembrane domain and signal sequence and is regulated by DPM2.	DPM1	AA004759	
1130	Hs.657791	Hypothetical gene supported by BC040598		LOC400960	AA004760	
1131	Hs.493655	"Transcribed locus, moderately similar to XP_233883.4 similar to solute carrier family 4 (anion exchanger), member 1, adaptor protein [Rattus norvegicus]"		NA	AA004801	
1132	Hs.660361	"CDNA FLJ13595 fis, clone PLACE1009595"		NA	AA004806	
1133	Hs.92993	Transcribed locus		NA	AA004810	
1134	Data not found			NA	AA004824	
1135	Hs.202179	"Survival of motor neuron 2, centromeric"	"This gene is part of a 500 kb inverted duplication on chromosome 5q13. This duplicated region contains at least four genes and repetitive elements which make it prone to rearrangements and deletions. The repetitiveness and complexity of the sequence have also caused difficulty in determining the organization of this genomic region. The telomeric and centromeric copies of this gene are nearly identical and encode the same protein. While mutations in the telomeric copy are associated with spinal muscular atrophy, mutations in this gene, the centromeric copy, do not lead to disease. This gene may be a modifier of disease caused by mutation in the telomeric copy. The critical sequence difference between the two genes is a single nucleotide in exon 7 which is thought to be an exon splice enhancer. It is thought that gene conversion events may involve the two genes, leading to varying copy numbers of each gene. The full length protein encoded by this gene localizes to both the cytoplasm and the nucleus. Within the nucleus, the protein localizes to subnuclear bodies called gems which are found near coiled bodies containing high concentrations of small ribonucleoproteins (snRNPs). This protein forms heteromeric complexes with proteins such as SIP1 and GEMIN4, and also interacts with several proteins known to be involved in the biogenesis of snRNPs, such as hnRNP U protein and the small nucleolar RNA binding protein. Four transcript variants are produced by this gene."	SMN2	AA004858	
1136	Hs.440401	"Retinol saturase (all-trans-retinol 13,14-reductase)"		RETSAT	AA004881	
1137	Hs.537537	Transcribed locus		NA	AA004901	
1138	Hs.659347	Full-length cDNA clone CS0DI055YL20 of Placenta Cot 25-normalized of Homo sapiens (human)		NA	AA004946	
1139	Hs.660262	Transcribed locus		NA	AA005115	
1140	Hs.656108	Transcribed locus		NA	AA005135	
1141	Hs.444441	Cleft lip and palate associated transmembrane protein 1		CLPTM1	AA005140	
1142	Hs.478125	InaD-like (Drosophila)	"This gene encodes a protein with multiple PDZ domains. PDZ domains mediate protein-protein interactions, and proteins with multiple PDZ domains often organize multimeric complexes at the plasma membrane. This protein localizes to tight junctions and to the apical membrane of epithelial cells. A similar protein in Drosophila is a scaffolding protein which tethers several members of a multimeric signaling complex in photoreceptors. Alternative splicing results in four transcript variants encoding different isoforms. Additional transcript variants have been described but their full-length sequences have not been determined."	INADL	AA005153	
1143	Data not found			NA	AA005196	
1144	Hs.50223	"Retinol binding protein 4, plasma"	"This protein belongs to the lipocalin family and is the specific carrier for retinol (vitamin A alcohol) in the blood. It delivers retinol from the liver stores to the peripheral tissues. In plasma, the RBP-retinol complex interacts with transthyretin which prevents its loss by filtration through the kidney glomeruli. A deficiency of vitamin A blocks secretion of the binding protein posttranslationally and results in defective delivery and supply to the epidermal cells."	RBP4	AA005202	
1145	Hs.303669	"Solute carrier family 25, member 42"		SLC25A42	AA005350	
1146	Data not found			NA	AA005355	
1147	Hs.183974	Transcribed locus		NA	AA005358	
1148	Hs.477495	"Myb-like, SWIRM and MPN domains 1"		MYSM1	AA005386	
1149	Hs.356626	Hypothetical protein P117		P117	AA005401	
1150	Hs.27371	Hypothetical protein LOC157562		LOC157562	AA005410	
1151	Data not found			NA	AA005428	
1152	Data not found			NA	AA007283	
1153	Hs.515081	Dipeptidyl-peptidase 9	"This gene encodes a protein that is a member of the S9B family in clan SC of the serine proteases. The protein has been shown to have post-proline dipeptidyl aminopeptidase activity, cleaving Xaa-Pro dipeptides from the N-termini of proteins. Although the activity of this protein is similar to that of dipeptidyl peptidase 4 (DPP4), it does not appear to be membrane bound. In general, dipeptidyl peptidases appear to be involved in the regulation of the activity of their substrates and have been linked to a variety of diseases including type 2 diabetes, obesity and cancer. Several transcript variants of this gene have been described but not fully characterized."	DPP9	AA007308	
1154	Hs.305971	"Solute carrier family 2 (facilitated glucose transporter), member 10"	"SLC2A10 is a member of the facilitative glucose transporter family, which plays a significant role in maintaining glucose homeostasis.[supplied by OMIM]"	SLC2A10	AA007344	
1155	Hs.656246	Transcribed locus		NA	AA007370	
1156	Hs.525549	BTB (POZ) domain containing 7		BTBD7	AA007402	
1157	Hs.386726	Regulator of G-protein signalling 4	"Regulator of G protein signaling (RGS) family members are regulatory molecules that act as GTPase activating proteins (GAPs) for G alpha subunits of heterotrimeric G proteins. RGS proteins are able to deactivate G protein subunits of the Gi alpha, Go alpha and Gq alpha subtypes. They drive G proteins into their inactive GDP-bound forms. Regulator of G protein signaling 4 belongs to this family. All RGS proteins share a conserved 120-amino acid sequence termed the RGS domain. Regulator of G protein signaling 4 protein is 37% identical to RGS1 and 97% identical to rat Rgs4. This protein negatively regulate signaling upstream or at the level of the heterotrimeric G protein and is localized in the cytoplasm."	RGS4	AA007419	
1158	Data not found			NA	AA007434	
1159	Hs.89583	T-cell leukemia homeobox 1		TLX1	AA007444	
1160	Hs.368214	Tetratricopeptide repeat domain 3		TTC3	AA007509	
1161	Hs.169358	Thioredoxin domain containing 13		TXNDC13	AA007516	
1162	Hs.153863	SMAD family member 6		SMAD6	AA007518	
1163	Hs.422662	Vaccinia related kinase 1		VRK1	AA007522	
1164	Hs.487562	Similar to hypothetical protein MGC27019		LOC389833	AA007587	
1165	Hs.240770	SUMO1/sentrin specific peptidase 5		SENP5	AA007591	
1166	Hs.647334	Snf2-related CBP activator protein		SRCAP	AA007619	
1167	Hs.648813	Transcribed locus		NA	AA007623	
1168	Hs.216226	Synaptogyrin 1	"This gene encodes an integral membrane protein associated with presynaptic vesicles in neuronal cells. The exact function of this protein is unclear, but studies of a similar murine protein suggest that it functions in synaptic plasticity without being required for synaptic transmission. The gene product belongs to the synaptogyrin gene family. Three alternatively spliced variants encoding three different isoforms have been identified."	SYNGR1	AA007632	
1169	Hs.483200	Sorting nexing 24		SNX24	AA007634	
1170	Hs.188456	"Phosphatidylinositol glycan anchor biosynthesis, class C"	This gene encodes an endoplasmic reticulum associated protein that is involved in glycosylphosphatidylinositol (GPI) lipid anchor biosynthesis. The GPI lipid anchor is a glycolipid found on many blood cells and serves to anchor proteins to the cell surface. The encoded protein is one subunit of the GPI N-acetylglucosaminyl (GlcNAc) transferase that transfers GlcNAc to phosphatidylinositol (PI) on the cytoplasmic side of the endoplasmic reticulum. Two alternatively spliced transcripts that encode the same protein have been found for this gene. A pseudogene on chromosome 11 has also been characterized.	PIGC	AA007699	
1171	Hs.110196	Cysteine-rich C-terminal 1		CRCT1	AA009484	
